Name	Year	Rating	Description	Visual Appeal	Reliability	Performance	Comfort	Service Experience	Maintenance cost	Extra Features	Likes	Dislikes	Used it for	Owned for	Mileage	Ridden for
Shantanu Kholkute	5 months ago by	5	Royal bike for royal boys	5	5		4	4		4	"
                            3"	"
                            3"	Tours	> 1 yr	37 kmpl	10000-15000 kms
Sharief	5 months ago by	5	Royalty	5	5	5			5		"
                            4"	"
                            1"	Daily Commute	Never owned		40 kmpl
Rahul Ghosh	5 months ago by	4	Bullet 350 ES 2020	5	5						"
                            4"	"
                            2"	Daily Commute	> 1 yr	38 kmpl	5000-10000 kms
Gulam Khalid	5 months ago by	5	Real men ride royal enfield	5	5	5			5		"
                            3"	"
                            4"	Everything	6 months-1 yr	40 kmpl	5000-10000 kms
Gurjant	5 months ago by	5	Drive the power	5	5	5	4		5	4	"
                            0"	"
                            1"	Daily Commute	> 1 yr	45 kmpl	< 5000 kms
Rohit Sharma	5 months ago by	5	Royal Enfield Bullet 350 review	5	5	5			5		"
                            0"	"
                            2"	Everything	> 1 yr		> 15000 kms
Vijay	6 months ago by	4	Best of enfield	5	5	5			5		"
                            3"	"
                            2"	Everything	> 1 yr	35 kmpl	> 15000 kms
Rajkumar	6 months ago by	1	Very poor				4	4		4	"
                            5"	"
                            3"	Daily Commute	> 1 yr	30 kmpl	5000-10000 kms
Shubham Sharma	6 months ago by	1	Bs IV standard	5			4			4	"
                            13"	"
                            8"	Everything	> 1 yr	35 kmpl	> 15000 kms
Ashutosh Gurung	7 months ago by	4	Nice bike but consume a lot of petrol	5	5		4	4		4	"
                            2"	"
                            4"	Tours	< 3 months	120 kmpl	5000-10000 kms
Sahil	7 months ago by	5	Really great bike from royal enfield. Great bike.	5	5	5			5		"
                            6"	"
                            1"	Everything	6 months-1 yr	44 kmpl	10000-15000 kms
Ajees A	7 months ago by	1	Don't buy royal enfield	3	1	1	1	1			"
                            18"	"
                            17"	Daily Commute	> 1 yr	34 kmpl	5000-10000 kms
Harasan	7 months ago by	4	Good product but poor customer support	5			4	4		4	"
                            10"	"
                            5"	Everything	< 3 months	38 kmpl	< 5000 kms
Vishal Joshi	7 months ago by	5	The indian proud royal enfield always tough and powerfull more th...	5	5	5	4		5	4	"
                            7"	"
                            1"	Everything	6 months-1 yr	50 kmpl	5000-10000 kms
Luv	7 months ago by	4	Almost the Perfect all rounder!	5			4	4		4	"
                            6"	"
                            3"	Everything	6 months-1 yr	30 kmpl	5000-10000 kms
Shyam	7 months ago by	5	Bullet	5	5	5			5		"
                            4"	"
                            14"	Tours	6 months-1 yr	120 kmpl	5000-10000 kms
Md Omair	8 months ago by	5	Enfield in field	5	5	5			5		"
                            7"	"
                            4"	Everything	Never owned		40 kmpl
Tanmay	8 months ago by	5	This bike one view wont need any review!!!!	5	5	5	4	4	5	4	"
                            6"	"
                            3"	Leisure Rides	> 1 yr	38 kmpl	> 15000 kms
Mohan Lal	8 months ago by	5	Amazing royal enfield bullet 350	5	5	5			5		"
                            4"	"
                            0"	Everything	Never owned		
Rohit Khatri	8 months ago by	5	Bullet is t just a bike its a dream.	5	5	5	4	4	5	4	"
                            4"	"
                            2"	Leisure Rides	Never owned		34 kmpl
Inzamam	8 months ago by	3	Royal Enfield Bullet 350 review	3	3	4	4	4		4	"
                            9"	"
                            2"	Daily Commute	> 1 yr		5000-10000 kms
Vishwanath L	8 months ago by	4	Coming to the looks  other bikes can be compared with royal enf...	5	5		4	4		4	"
                            3"	"
                            0"	Everything	Never owned		37 kmpl
Maj Kumar	8 months ago by	5	It is best	5	5	5			5		"
                            2"	"
                            5"	Daily Commute	6 months-1 yr	100 kmpl	< 5000 kms
Ashwin D Dathan	9 months ago by	5	I liked it so I took it and its t for all	5			4	4		4	"
                            1"	"
                            0"	Daily Commute	6 months-1 yr	40 kmpl	< 5000 kms
Aha Khan	9 months ago by	5	Dream of buy this bike again	5	5	5			5		"
                            1"	"
                            1"	Everything	6 months-1 yr		< 5000 kms
Biswajit Banerjee	9 months ago by	4	Good bike	5	5		4	4		4	"
                            3"	"
                            1"	Daily Commute	> 1 yr	40 kmpl	5000-10000 kms
Manjeet Singh	9 months ago by	5	Royal Enfield Bullet 350 review	5	5	5			5		"
                            0"	"
                            2"	Everything	Never owned		40 kmpl
Pitam Mukherjee	9 months ago by	4	Vintage vroom	5			4	4		4	"
                            1"	"
                            0"	Everything	> 1 yr	35 kmpl	10000-15000 kms
Soham Sanjay Gavali	9 months ago by	5	Bullet dream	5	5	5			5		"
                            4"	"
                            8"	Everything	Never owned		
Anmol	9 months ago by	5	A dragon ball	5	5	5	4	4	5	4	"
                            2"	"
                            1"	Everything	> 1 yr	38 kmpl	10000-15000 kms
Saikiran	9 months ago by	5	Royal Enfield Bullet review	5	5	5			5		"
                            2"	"
                            5"	Everything	> 1 yr		> 15000 kms
Mohit	9 months ago by	5	I love this bike	5	5		4	4		4	"
                            4"	"
                            7"	Leisure Rides	6 months-1 yr	120 kmpl	10000-15000 kms
Puneet	10 months ago by	5	Bullet 350 review	5	5	5			5		"
                            10"	"
                            2"	Everything	3-6 months		10000-15000 kms
Prajwal Arya Kr	10 months ago by	4	About the Enfield	5			4	4		4	"
                            4"	"
                            3"	Everything	> 1 yr	30 kmpl	5000-10000 kms
Pradeepan	10 months ago by	5	Re350 review	5	5	5	4		5	4	"
                            4"	"
                            2"	Everything	< 3 months	38 kmpl	< 5000 kms
Manivannan M	11 months ago by	1	Worst bike								"
                            21"	"
                            23"	Daily Commute	< 3 months	19 kmpl	< 5000 kms
Mahesh Yadav	11 months ago by	5	Royalty bike	5			4	4		4	"
                            2"	"
                            5"	Occasional Commute	Never owned		40 kmpl
Vignesh	11 months ago by	5	Review of  my bike	5	5	5			5		"
                            3"	"
                            2"	Everything	> 1 yr	35 kmpl	> 15000 kms
Nilesh	11 months ago by	5	Retro killer bike	5	5	5			5		"
                            3"	"
                            2"	Daily Commute	> 1 yr	38 kmpl	> 15000 kms
Pavan	11 months ago by	4	Classy bike	5	5		4	4		4	"
                            3"	"
                            2"	Occasional Commute	Never owned		35 kmpl
Shiva	11 months ago by	5	Vintage beauty out for sale	5	5	5	4		5	4	"
                            4"	"
                            6"	Daily Commute	> 1 yr	35 kmpl	< 5000 kms
Shashank Sharma	12 months ago by	5	Excellent	5	5	5			5		"
                            1"	"
                            1"	Everything	> 1 yr	45 kmpl	5000-10000 kms
Jagat	12 months ago by	5	Favourite Royal Enfield	5	5	5			5		"
                            3"	"
                            2"	Daily Commute	< 3 months	19 kmpl	> 15000 kms
Himanshu	12 months ago by	5	Good Royal Enfield 350								"
                            1"	"
                            3"	Occasional Commute	6 months-1 yr	78 kmpl	5000-10000 kms
Sukhdeep Singh	12 months ago by	5	My favourite  bike bullet 350	5	5	5			5		"
                            2"	"
                            2"	Everything	Never owned		40 kmpl
Pulkit	12 months ago by	5	The thunder bike	5	5	5			5		"
                            2"	"
                            1"	Everything	Never owned		21 kmpl
Danish	1 year ago by	5	Bullet is the first choice of indian guy	5	5	5			5		"
                            2"	"
                            2"	Everything	Never owned		
Rajan	1 year ago by	4	The perfect partner				4	4		4	"
                            10"	"
                            2"	Tours	6 months-1 yr	35 kmpl	5000-10000 kms
Honey Gola	1 year ago by	5	Royal Enfield standard x power pick up and pure soul	5	5	5			5		"
                            9"	"
                            2"	Occasional Commute	6 months-1 yr	47 kmpl	5000-10000 kms
Kuntal Mukherjee	1 year ago by	5	Legacy of motor cycling at affordable price	5	5	5			5		"
                            3"	"
                            5"	Leisure Rides	> 1 yr	50 kmpl	5000-10000 kms
Sanjeev Kumar Mishra	1 year ago by	5	It's really amazing bike	5			4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr	42 kmpl	10000-15000 kms
Kamlesh Beniwal	1 year ago by	5	Royal Enfield feeling	5	5	5			5		"
                            9"	"
                            3"	Everything	Never owned		50 kmpl
Manish	1 year ago by	1	Worst service and quality of the product.	5			4			4	"
                            17"	"
                            21"	Occasional Commute	6 months-1 yr	35 kmpl	5000-10000 kms
Shanid	1 year ago by	5	Best tourist bike i ever seen	5	5		4	4		4	"
                            12"	"
                            7"	Everything	Never owned		
Shivansh Chaudhary	1 year ago by	5	For me the bike is bang for bucks	5	5	5	4	4	5	4	"
                            1"	"
                            4"	Everything	3-6 months	38 kmpl	< 5000 kms
Anjani Pratap Singh	1 year ago by	5	"The name worth, ""ROYAL"""	5	5	5			5		"
                            4"	"
                            1"	Everything	< 3 months	48 kmpl	< 5000 kms
Tirth	1 year ago by	5	It is made like a killing machine gun	5	5	5			5		"
                            4"	"
                            7"	Everything	< 3 months	52 kmpl	< 5000 kms
Dev	1 year ago by	5	The romance with the royal enfield	5	5	5	4	4	5	4	"
                            8"	"
                            5"	Everything	Never owned		
Parmjit Singh	1 year ago by	5	20yr Older Vs the new One. Old one is the winner.	5			4	4		4	"
                            11"	"
                            5"	Everything	> 1 yr		10000-15000 kms
Hutiyacasm	1 year ago by	5	Best bike to buy	5	5	5			5		"
                            1"	"
                            6"	Everything	6 months-1 yr	45 kmpl	> 15000 kms
Deepak	1 year ago by	5	Bullet review	5	5	5	4	4	5	4	"
                            10"	"
                            2"	Everything	6 months-1 yr	38 kmpl	5000-10000 kms
Simpy Singh	1 year ago by	5	My bullet 350	5	5	5			5		"
                            12"	"
                            10"	Everything	6 months-1 yr		> 15000 kms
Muhammedmishaluv	1 year ago by	5	Royal	5	5	5			5		"
                            8"	"
                            0"	Everything	6 months-1 yr	35 kmpl	10000-15000 kms
Rohan Philip	1 year ago by	5	Royal enfield classic 350	5	5	5			5		"
                            2"	"
                            3"	Everything	Never owned		
Abhay	1 year ago by	4	Re bullet best in class in his segment	5	5	5	4	4	5	4	"
                            7"	"
                            0"	Tours	Never owned		37 kmpl
Darpan	1 year ago by	4	Superb mileage with a lack of power to handle highway cruise	5	5	5	4		5	4	"
                            13"	"
                            2"	Leisure Rides	< 3 months	40 kmpl	< 5000 kms
Saurabh Singh Ratho...	1 year ago by	5	My royal friend. My bullet	5	5		4	4		4	"
                            6"	"
                            3"	Everything	6 months-1 yr	25 kmpl	< 5000 kms
Shivam Choudhary	1 year ago by	5	My bullet my love	5	5	5			5		"
                            3"	"
                            3"	Daily Commute	> 1 yr	46 kmpl	> 15000 kms
Ishan	1 year ago by	5	Royal enfield men's choice	5	5	5			5		"
                            9"	"
                            4"	Everything	Never owned		35 kmpl
Om Patil	1 year ago by	5	The royal sawari	5	5	5	4	4	5	4	"
                            4"	"
                            4"	Occasional Commute	> 1 yr	50 kmpl	5000-10000 kms
Shilpa Pakhale	1 year ago by	4	Superb	5			4	4		4	"
                            3"	"
                            7"	Tours	6 months-1 yr		< 5000 kms
Sachin Jyostna Vija...	1 year ago by	5	Review				4	4		4	"
                            2"	"
                            2"	Daily Commute	> 1 yr	35 kmpl	10000-15000 kms
Rajesh P	1 year ago by	1	Waste of money								"
                            23"	"
                            17"	Daily Commute	3-6 months		< 5000 kms
Dev Raj	1 year ago by	5	Bullet standard is a real bullet bike.	5	5	5			5		"
                            7"	"
                            1"	Everything	Never owned		37 kmpl
Mohd Arshad	1 year ago by	5	The look	5	5	5			5		"
                            0"	"
                            1"	Everything	Never owned		
Shankar B Men	1 year ago by	4	Bullet electra 350 my dreams to reality..	5	5		4	4		4	"
                            9"	"
                            1"	Daily Commute	> 1 yr	46 kmpl	> 15000 kms
Tosif Ansari	1 year ago by	5	Review				4	4		4	"
                            8"	"
                            4"	Everything	3-6 months		< 5000 kms
Irfansayed	1 year ago by	4	My reviews on bullet	5	5		4	4		4	"
                            2"	"
                            2"	Daily Commute	6 months-1 yr		5000-10000 kms
Ashish	1 year ago by	5	Best bike to buy	5	5	5			5		"
                            6"	"
                            6"	Everything	6 months-1 yr	40 kmpl	5000-10000 kms
Amit Soni	1 year ago by	4	If you are thinking about bullet you should read	5	5		4	4		4	"
                            6"	"
                            2"	Daily Commute	> 1 yr	35 kmpl	10000-15000 kms
Virenderpal	1 year ago by	4	Bullet 350 is best	5	5	5	4	4	5	4	"
                            3"	"
                            1"	Occasional Commute	> 1 yr	48 kmpl	5000-10000 kms
Abhishek Kumar Anan...	1 year ago by	5	Amazing	5	5	5			5		"
                            1"	"
                            0"	Everything	Never owned		35 kmpl
Prasun Roy	1 year ago by	1	Review								"
                            11"	"
                            10"	Daily Commute	> 1 yr		< 5000 kms
Shantanu Joshi	1 year ago by	5	Dream Bike	5	5		4			4	"
                            2"	"
                            0"	Daily Commute	6 months-1 yr	43 kmpl	5000-10000 kms
Joshua D'costa	1 year ago by	5	Standard 350	5	5		4	4		4	"
                            5"	"
                            0"	Everything	> 1 yr		> 15000 kms
Ashu Singh Jadaun	1 year ago by	5	Review	5	5	5			5		"
                            0"	"
                            13"	Leisure Rides	> 1 yr	150 kmpl	< 5000 kms
Darshane Kadam	1 year ago by	5	Status symbol	5	5	5			5		"
                            2"	"
                            0"	Everything	> 1 yr	45 kmpl	10000-15000 kms
Rakesh U Samkaria	1 year ago by	5	Shaan ki sawari.	5	5		4	4		4	"
                            1"	"
                            1"	Daily Commute	3-6 months	51 kmpl	< 5000 kms
Ruban Nadar	1 year ago by	4	Royal ride				4	4		4	"
                            1"	"
                            2"	Leisure Rides	> 1 yr		5000-10000 kms
Muktikanta Khilar	1 year ago by	4	The classy and best bike	5	5	5	4	4	5	4	"
                            2"	"
                            2"	Everything	> 1 yr	35 kmpl	10000-15000 kms
Darpan Nath	1 year ago by	4	Buy only if you are a re fanboy and ready to live with its flaws	5	5		4			4	"
                            1"	"
                            1"	Daily Commute	< 3 months		< 5000 kms
Renita	1 year ago by	5	Look is sexy	5	5	5			5		"
                            2"	"
                            0"	Everything	> 1 yr		5000-10000 kms
Naveen Mathew	1 year ago by	5	Most sufficient fuel consumption in this segment	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	50 kmpl	> 15000 kms
Sandeep Sharma	1 year ago by	5	Good bike	5	5	5			5		"
                            2"	"
                            0"	Everything	> 1 yr	30 kmpl	> 15000 kms
Sachin Mahajan	1 year ago by	4	Best tourer for low speed riding.	5			4	4		4	"
                            4"	"
                            4"	Tours	> 1 yr	45 kmpl	> 15000 kms
Avik Bhowmick	1 year ago by	5	Road King	5	5	5	4		5	4	"
                            1"	"
                            0"	Everything	< 3 months	35 kmpl	< 5000 kms
Sumit Sati	1 year ago by	3	Bullet 350				4	4		4	"
                            9"	"
                            3"	Everything	6 months-1 yr	40 kmpl	< 5000 kms
Nazish Yasmeen	1 year ago by	1	Worst bike please don't buy anyone								"
                            44"	"
                            6"	Daily Commute	> 1 yr		< 5000 kms
Manikandan	1 year ago by	5	Achieve it	5	5	5			5		"
                            3"	"
                            0"	Daily Commute	Never owned		42 kmpl
Rohit Devkate	1 year ago by	5	Dream bike	5	5	5			5		"
                            6"	"
                            0"	Occasional Commute	> 1 yr	40 kmpl	5000-10000 kms
Himanshu	1 year ago by	5	Legend dream bike	5	5	5	4	4	5	4	"
                            3"	"
                            0"	Everything	> 1 yr	40 kmpl	> 15000 kms
Ankit	1 year ago by	5	Bullet	5	5		4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr	37 kmpl	5000-10000 kms
Lakhan	1 year ago by	5	Robust durable cost effective super build quality.	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	> 1 yr	35 kmpl	5000-10000 kms
Shubham Aryan	1 year ago by	5	Royal enfield classic 350	5	5	5	4		5	4	"
                            1"	"
                            1"	Daily Commute	> 1 yr	35 kmpl	> 15000 kms
Harsha S R	1 year ago by	5	Bullet the word is eugh	5	5	5			5		"
                            3"	"
                            0"	Daily Commute	> 1 yr	38 kmpl	> 15000 kms
Dhanush	1 year ago by	5	Long term review  8 years 3 months and 48k kms	5	5	5	4		5	4	"
                            0"	"
                            0"	Everything	> 1 yr	38 kmpl	> 15000 kms
Ragu Kumar	1 year ago by	5	Professional bike	5	5	5	4	4	5	4	"
                            4"	"
                            0"	Everything	6 months-1 yr	38 kmpl	> 15000 kms
Rupesh	1 year ago by	3	Good for beginners				4			4	"
                            2"	"
                            1"	Daily Commute	6 months-1 yr	35 kmpl	> 15000 kms
Dineshkumar	1 year ago by	5	Retro classic machine	5	5	5	4		5	4	"
                            2"	"
                            0"	Daily Commute	6 months-1 yr	40 kmpl	5000-10000 kms
Naman Patel	1 year ago by	5	Ride likes a bullet.	5	5	5			5		"
                            0"	"
                            0"	Occasional Commute	> 1 yr	38 kmpl	5000-10000 kms
S Manju	1 year ago by	3	My bullet story				4			4	"
                            3"	"
                            5"	Daily Commute	6 months-1 yr	10 kmpl	10000-15000 kms
Arsh Aulakh	1 year ago by	4	An absolute dream	5	5	5	4		5	4	"
                            2"	"
                            0"	Everything	6 months-1 yr	36 kmpl	5000-10000 kms
Manish	1 year ago by	4	Big giant	5	5	5	4	4	5	4	"
                            1"	"
                            0"	Daily Commute	6 months-1 yr	30 kmpl	5000-10000 kms
Anmolpreet Singh	1 year ago by	5	"Great experience, love Bullet 350"	5	5	5	4		5	4	"
                            1"	"
                            0"	Daily Commute	< 3 months	38 kmpl	< 5000 kms
Ajay	1 year ago by	3	Your first priority is speed means you should see other bikes				4	4		4	"
                            5"	"
                            3"	Daily Commute	6 months-1 yr	30 kmpl	5000-10000 kms
Thomnic	1 year ago by	5	Royal enfield	5	5	5	4		5	4	"
                            0"	"
                            0"	Everything	6 months-1 yr	45 kmpl	10000-15000 kms
Basanta Kumar Behera	1 year ago by	5	Review	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	Never owned		
Arjun Sain	1 year ago by	5	An amazing bike for love	5	5		4			4	"
                            0"	"
                            0"	Leisure Rides	Never owned		51 kmpl
Aryansh Tyagi	1 year ago by	4	Choice				4	4		4	"
                            1"	"
                            0"	Tours	> 1 yr	40 kmpl	< 5000 kms
Divor Kaur	1 year ago by	5	The love ride	5	5	5	4	4	5	4	"
                            0"	"
                            1"	Daily Commute	6 months-1 yr	23 kmpl	5000-10000 kms
Rupesh	1 year ago by	5	The royal enfield	5	5	5			5		"
                            1"	"
                            0"	Everything	> 1 yr	50 kmpl	> 15000 kms
Abhishek Verma	1 year ago by	5	Its comfortable to ride and look is very cool	5	5	5	4		5	4	"
                            2"	"
                            0"	Tours	> 1 yr	40 kmpl	> 15000 kms
Ronak	1 year ago by	5	My ride	5			4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr		< 5000 kms
Chandra Kant Mishra	1 year ago by	5	Bike is outstanding.	5	5	5	4		5	4	"
                            1"	"
                            1"	Everything	3-6 months	40 kmpl	< 5000 kms
Yashwanth	1 year ago by	5	Worth it.	5	5		4	4		4	"
                            2"	"
                            0"	Tours	6 months-1 yr	38 kmpl	5000-10000 kms
Dr Subi	1 year ago by	5	Good ride				4	4		4	"
                            2"	"
                            2"	Leisure Rides	> 1 yr	40 kmpl	10000-15000 kms
Mihir	1 year ago by	5	Awesome bike	5	5		4	4		4	"
                            0"	"
                            0"	Daily Commute	6 months-1 yr	40 kmpl	10000-15000 kms
Mayur	1 year ago by	4	Dream	5	5		4	4		4	"
                            5"	"
                            0"	Occasional Commute	3-6 months	35 kmpl	< 5000 kms
Vimal Kumar	1 year ago by	5	Very comfort bike	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Everything	> 1 yr	38 kmpl	10000-15000 kms
Rajagayani	1 year ago by	4	What a amazing machine	5	5		4	4		4	"
                            0"	"
                            1"	Tours	6 months-1 yr	15 kmpl	> 15000 kms
Roydon	1 year ago by	5	Bullet classic 350 - hulk!	5	5	5			5		"
                            1"	"
                            1"	Occasional Commute	Never owned		38 kmpl
Anish	1 year ago by	5	Beast mode is on	5	5	5	4		5	4	"
                            0"	"
                            0"	Tours	> 1 yr	35 kmpl	10000-15000 kms
Akash Sharma	1 year ago by	5	Royalty in the name itself !	5	5		4	4		4	"
                            10"	"
                            0"	Daily Commute	> 1 yr		40 kmpl
Rajeev Singh	1 year ago by	5	Awesome bike review								"
                            1"	"
                            0"	Everything	Never owned		
Tanmay	1 year ago by	5	Experience	5	5	5			5		"
                            0"	"
                            2"	Daily Commute	> 1 yr	35 kmpl	5000-10000 kms
Nihar Ranjan Mishra	1 year ago by	4	Road glider	5	5	5	4	4	5	4	"
                            3"	"
                            0"	Tours	> 1 yr	42 kmpl	> 15000 kms
Akash	1 year ago by	5	Perfect bike in mid-range	5	5	5	4		5	4	"
                            3"	"
                            0"	Everything	> 1 yr	39 kmpl	> 15000 kms
Harshit	1 year ago by	5	Every one should buy this bike its really awesome bike in India	5	5	5			5		"
                            3"	"
                            2"	Everything	6 months-1 yr	37 kmpl	< 5000 kms
Aakash Kamath	1 year ago by	4	Beast bullet!	5			4	4		4	"
                            4"	"
                            2"	Daily Commute	6 months-1 yr	39 kmpl	< 5000 kms
Harshit Srivastava	1 year ago by	4	Royal enfield a living pride	5	5	5	4	4	5	4	"
                            1"	"
                            0"	Leisure Rides	> 1 yr	35 kmpl	> 15000 kms
Sanskar	1 year ago by	5	Loving bullet 350	5	5	5			5		"
                            0"	"
                            0"	Everything	Never owned		34 kmpl
Jayadeep K E	1 year ago by	5	Classic 350 - satisfied	5	5	5	4	4	5	4	"
                            1"	"
                            3"	Everything	3-6 months		< 5000 kms
Kamal Sharma	1 year ago by	5	Review	5	5	5			5		"
                            1"	"
                            0"	Tours	> 1 yr	38 kmpl	< 5000 kms
Undefined	1 year ago by	5	Flawless bike	5	5	5			5		"
                            1"	"
                            0"	Everything	6 months-1 yr	40 kmpl	< 5000 kms
Gk	2 years ago by	4	Awesome	5	5	5	4	4	5	4	"
                            2"	"
                            0"	Everything	> 1 yr	38 kmpl	< 5000 kms
Tushar Kapgate	2 years ago by	5	Superb				4	4		4	"
                            0"	"
                            0"	Everything	> 1 yr	35 kmpl	< 5000 kms
Vishal Verma	2 years ago by	5	Bullet review	5	5		4	4		4	"
                            0"	"
                            1"	Everything	> 1 yr		10000-15000 kms
Ajay Kumar	2 years ago by	5	Dream bike	5	5		4	4		4	"
                            0"	"
                            0"	Everything	Never owned		
Maruti Pandey	2 years ago by	5	Shoot like bullet	5	5		4	4		4	"
                            1"	"
                            1"	Daily Commute	> 1 yr	28 kmpl	> 15000 kms
Puja Singh	2 years ago by	4	My pride	5	5		4	4		4	"
                            1"	"
                            1"	Daily Commute	> 1 yr	30 kmpl	5000-10000 kms
Jestin Joy	2 years ago by	4	Experience tells you the truth				4	4		4	"
                            2"	"
                            1"	Daily Commute	> 1 yr	46 kmpl	> 15000 kms
Navnath	2 years ago by	5	Review	5	5	5			5		"
                            0"	"
                            0"	Daily Commute	6 months-1 yr	40 kmpl	> 15000 kms
Rahul	2 years ago by	3	Good experience				4			4	"
                            19"	"
                            10"	Daily Commute	> 1 yr	30 kmpl	> 15000 kms
Ajay	2 years ago by	4	then there is royal enfield these guys think their bikes are mad...	5	5		4	4		4	"
                            0"	"
                            1"	Daily Commute	> 1 yr	40 kmpl	> 15000 kms
Balaji	2 years ago by	5	Better than other	5	5		4			4	"
                            3"	"
                            2"	Everything	> 1 yr	44 kmpl	> 15000 kms
Teja	2 years ago by	5	All time best	5	5	5			5		"
                            1"	"
                            1"	Daily Commute	> 1 yr	40 kmpl	5000-10000 kms
Pulkit	2 years ago by	5	My review of bullet 350	5	5	5			5		"
                            0"	"
                            0"	Everything	Never owned		42 kmpl
Gediya Kamlesh	2 years ago by	5	Experience with bikewale & royal enfield	5	5	5			5		"
                            0"	"
                            0"	Leisure Rides	> 1 yr	45 kmpl	> 15000 kms
Chirag Suthar	2 years ago by	4	Royal experience	5	5		4	4		4	"
                            0"	"
                            0"	Daily Commute	3-6 months	40 kmpl	< 5000 kms
Bhaskar C	2 years ago by	4	This bullet gives life	5	5		4	4		4	"
                            1"	"
                            0"	Daily Commute	Never owned		40 kmpl
Hari	2 years ago by	4	My experience on royal enfield	5			4	4		4	"
                            1"	"
                            0"	Leisure Rides	> 1 yr	40 kmpl	10000-15000 kms
Debasish Roy	2 years ago by	5	Traveling boss	5	5	5			5		"
                            0"	"
                            6"	Everything	3-6 months	110 kmpl	5000-10000 kms
Mukesh	2 years ago by	5	So good bike	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Everything	> 1 yr	45 kmpl	> 15000 kms
Raghav Sharma	2 years ago by	5	India's pride royal enfield	5	5	5	4	4	5	4	"
                            0"	"
                            0"	Daily Commute	6 months-1 yr	35 kmpl	5000-10000 kms
Dikshithnaidu	2 years ago by	5	Awesome bike	5	5	5			5		"
                            3"	"
                            5"	Tours	Never owned		35 kmpl
Rohit Gupta	2 years ago by	4	Beauty and the beast				4	4		4	"
                            0"	"
                            1"	Occasional Commute	Never owned		40 kmpl
Pranav Nambiar	2 years ago by	4	The Affordable cruiser	5	5		4			4	"
                            0"	"
                            0"	Everything	Never owned		40 kmpl
Jagapathi	2 years ago by	5	Review	5	5	5			5		"
                            0"	"
                            3"	Everything	> 1 yr	80 kmpl	< 5000 kms
Rahul Yadav	2 years ago by	5	Awesome	5	5		4			4	"
                            0"	"
                            0"	Tours	6 months-1 yr	38 kmpl	< 5000 kms
Ayushman	2 years ago by	3	7 years of bullet ownership and long term review.				4	4		4	"
                            2"	"
                            2"	Everything	> 1 yr	35 kmpl	> 15000 kms
